Index-1,Index-2,$,Brent
0.038154,0.038135,0.1153,0.568274
0.03819,0.038154,0.115426,0.570831
0.038186,0.03819,0.116242,0.568855
0.038261,0.038186,0.117592,0.548983
0.038302,0.038261,0.119004,0.560604
0.038491,0.038302,0.121516,0.538989
0.03851,0.038491,0.11935,0.626845
0.038513,0.03851,0.122269,0.632888
0.038521,0.038513,0.1223,0.638466
0.038881,0.038521,0.122049,0.626729
0.039127,0.038881,0.121673,0.615921
0.039084,0.039127,0.122395,0.631377
0.038927,0.039084,0.122143,0.646833
0.038922,0.038927,0.121421,0.647182
0.038839,0.038922,0.122332,0.647531
0.038811,0.038839,0.122865,0.62638
0.038823,0.038811,0.123305,0.641604
0.038681,0.038823,0.12296,0.638234
0.038541,0.038681,0.122991,0.643231
0.038602,0.038541,0.124874,0.632888
0.03856,0.038602,0.125188,0.639744
0.038433,0.03856,0.127637,0.641023
0.038466,0.038433,0.127825,0.642301
0.038386,0.038466,0.129363,0.65183
0.038334,0.038386,0.127919,0.653341
0.038235,0.038334,0.123933,0.652411
0.037951,0.038235,0.120385,0.660314
0.037986,0.037951,0.121767,0.644625
0.037993,0.037986,0.122865,0.65613
0.037996,0.037993,0.122426,0.661127
0.037918,0.037996,0.122551,0.663568
0.037921,0.037918,0.123839,0.638466
0.037813,0.037921,0.124466,0.623359
0.037819,0.037813,0.124906,0.640325
0.037941,0.037819,0.124027,0.644393
0.038036,0.037941,0.123807,0.64846
0.038041,0.038036,0.122865,0.649157
0.038136,0.038041,0.120354,0.644625
0.038185,0.038136,0.119915,0.626612
0.0381,0.038185,0.119538,0.629402
0.038106,0.0381,0.120323,0.644858
0.038128,0.038106,0.120856,0.641836
0.03764,0.038128,0.120982,0.644277
0.037544,0.03764,0.12117,0.640093
0.037382,0.037544,0.121139,0.645206
0.037379,0.037382,0.120888,0.65032
0.037501,0.037379,0.120009,0.641836
0.037508,0.037501,0.119946,0.647298
0.037239,0.037508,0.120103,0.660081
0.036955,0.037239,0.120637,0.657292
0.036854,0.036955,0.120919,0.660198
0.036884,0.036854,0.120762,0.647531
0.036926,0.036884,0.120417,0.639744
0.036939,0.036926,0.120103,0.640558
0.036951,0.036939,0.120197,0.646485
0.036956,0.036951,0.120009,0.658919
0.037027,0.036956,0.119726,0.64602
0.037039,0.037027,0.119538,0.650436
0.03713,0.037039,0.119758,0.647879
0.037327,0.03713,0.11935,0.646717
0.037356,0.037327,0.119067,0.648576
0.037375,0.037356,0.118973,0.652876
0.037424,0.037375,0.118879,0.658454
0.037446,0.037424,0.118659,0.648925
0.037454,0.037446,0.118596,0.657525
0.037315,0.037454,0.11869,0.650668
0.037323,0.037315,0.118628,0.649971
0.037329,0.037323,0.118628,0.64602
0.037268,0.037329,0.118785,0.654968
0.037104,0.037268,0.11869,0.640093
0.036927,0.037104,0.118471,0.649622
0.036938,0.036927,0.118063,0.650901
0.036943,0.036938,0.117592,0.649855
0.036695,0.036943,0.116901,0.617199
0.03671,0.036695,0.118,0.606508
0.036716,0.03671,0.117686,0.596979
0.036718,0.036716,0.117717,0.596746
0.036865,0.036718,0.118125,0.591749
0.036913,0.036865,0.11913,0.602092
0.03715,0.036913,0.117654,0.601511
0.037273,0.03715,0.118251,0.587565
0.037281,0.037273,0.117843,0.590354
0.037291,0.037281,0.118157,0.589773
0.037303,0.037291,0.118219,0.596514
0.03732,0.037303,0.11778,0.609181
0.037336,0.03732,0.118314,0.617316
0.03735,0.037336,0.117811,0.629518
0.037371,0.03735,0.118188,0.631726
0.037426,0.037371,0.118063,0.637885
0.037453,0.037426,0.118125,0.641952
0.037572,0.037453,0.118125,0.650552
0.037584,0.037572,0.118125,0.649157
0.037704,0.037584,0.118031,0.649506
0.037747,0.037704,0.117874,0.643347
0.037639,0.037747,0.117874,0.637885
0.037683,0.037639,0.117717,0.615107
0.037833,0.037683,0.117686,0.615805
0.038147,0.037833,0.117686,0.603835
0.038189,0.038147,0.117811,0.599651
0.038206,0.038189,0.117811,0.605462
0.038288,0.038206,0.118031,0.602208
0.038364,0.038288,0.118439,0.597792
0.038379,0.038364,0.118439,0.601162
0.038399,0.038379,0.118251,0.598722
0.038454,0.038399,0.118094,0.586403
0.038467,0.038454,0.118188,0.590238
0.038336,0.038467,0.118125,0.562231
0.038319,0.038336,0.118,0.570598
0.038359,0.038319,0.117937,0.573388
0.038414,0.038359,0.117843,0.566299
0.038543,0.038414,0.117937,0.583614
0.03855,0.038543,0.118,0.590006
0.038464,0.03855,0.117906,0.590819
0.038462,0.038464,0.117843,0.602208
0.038544,0.038462,0.117874,0.600232
0.038648,0.038544,0.118376,0.60674
0.039,0.038648,0.117435,0.610227
0.039056,0.039,0.117403,0.62301
0.039023,0.039056,0.117246,0.626031
0.039023,0.039023,0.117811,0.629285
0.039033,0.039023,0.117654,0.627077
0.038925,0.039033,0.117497,0.598024
0.038825,0.038925,0.117309,0.606043
0.038774,0.038825,0.117341,0.60767
0.038728,0.038774,0.117278,0.60244
0.038729,0.038728,0.117215,0.58466
0.038621,0.038729,0.117152,0.580476
0.038623,0.038621,0.117089,0.582452
0.038366,0.038623,0.117341,0.558512
0.038413,0.038366,0.117278,0.556188
0.03842,0.038413,0.117246,0.559558
0.038272,0.03842,0.117089,0.561185
0.038206,0.038272,0.116995,0.566182
0.038225,0.038206,0.117089,0.546194
0.038138,0.038225,0.117152,0.545264
0.037996,0.038138,0.117717,0.550494
0.037933,0.037996,0.117717,0.545148
0.037937,0.037933,0.11756,0.534805
0.037874,0.037937,0.117466,0.52086
0.037834,0.037874,0.117937,0.529227
0.03784,0.037834,0.117843,0.532597
0.037859,0.03784,0.118,0.549797
0.037905,0.037859,0.118941,0.551075
0.037888,0.037905,0.118785,0.556886
0.037837,0.037888,0.118628,0.577339
0.037824,0.037837,0.118659,0.576525
0.03785,0.037824,0.11891,0.555375
0.038318,0.03785,0.118722,0.562696
0.0383,0.038318,0.118659,0.56839
0.038334,0.0383,0.118628,0.562696
0.038355,0.038334,0.118596,0.567577
0.03856,0.038355,0.118565,0.577571
0.038805,0.03856,0.118533,0.572923
0.038897,0.038805,0.118502,0.558512
0.038931,0.038897,0.118408,0.564788
0.03905,0.038931,0.118628,0.583382
0.039208,0.03905,0.119287,0.59233
0.039165,0.039208,0.119507,0.598373
0.039199,0.039165,0.119663,0.610343
0.03922,0.039199,0.119695,0.611854
0.039163,0.03922,0.119883,0.601743
0.039091,0.039163,0.119946,0.608483
0.039148,0.039091,0.119946,0.609181
0.0391,0.039148,0.119758,0.6086
0.039114,0.0391,0.119632,0.605927
0.039242,0.039114,0.119632,0.612435
0.03933,0.039242,0.119695,0.603138
0.039281,0.03933,0.119663,0.605462
0.03928,0.039281,0.119695,0.589541
0.039298,0.03928,0.11982,0.590354
0.03932,0.039298,0.119915,0.584195
0.039422,0.03932,0.12004,0.593027
