Date,Temperatur,Hujan,Arah Angin,Kelembaban,UV,Kecepatan Angin,Tekanan Udara,hari_ke,month,hour
9/6/2022 0:00,24.7,0,1.413716694,94.92,0,0.85,1008.9,245.5890411,9,0
9/6/2022 1:00,24.04,0,0.523598776,94.92,0,0.09,1008.2,245.5890411,9,1
9/6/2022 2:00,24.16,0,0.907571211,94.92,0,0.96,1007.7,245.5890411,9,2
9/6/2022 3:00,24.04,0,0,94.92,0,1.64,1007.42,245.5890411,9,3
9/6/2022 4:00,23.9,0,0.453785606,94.92,0,1.1,1007.16,245.5890411,9,4
9/6/2022 5:00,23.94,0,0.41887902,94.92,0,0.51,1007.2,245.5890411,9,5
9/6/2022 6:00,24,0,0.593411946,94.92,0.06,1.01,1008.2,245.5890411,9,6
9/6/2022 7:00,24.4,0,1.064650844,94.92,0.6,0.82,1008.92,245.5890411,9,7
9/6/2022 8:00,24.92,0,0,94.92,1.24,0.61,1009.66,245.5890411,9,8
9/6/2022 9:00,26.2,0,0.523598776,94.92,4.41,2.44,1009.9,245.5890411,9,9
9/6/2022 10:00,27.28,0,0.244346095,92.36,4.48,2.08,1009.8,245.5890411,9,10
9/6/2022 11:00,27.5,0,5.619960191,90.6,5.82,6.05,1008.94,245.5890411,9,11
9/6/2022 12:00,32.4,0.2,0.541052068,68.18,5.34,1.13,1007.7,245.5890411,9,12
9/6/2022 13:00,26.66,0,0.541052068,93.02,2.75,0,1007.3,245.5890411,9,13
9/6/2022 14:00,28.8,0,0.541052068,78.72,5.02,0,1006.56,245.5890411,9,14
9/6/2022 15:00,13.2,0,3.141592654,47.21,2.24,5.02,502.75,245.5890411,9,15
9/6/2022 16:00,26.4,0,5.742133239,94.42,1.19,10.04,1005.5,245.5890411,9,16
9/6/2022 17:00,26.4,0,5.619960191,90.54,0.44,7.89,1005.7,245.5890411,9,17
9/6/2022 18:00,26.05,0,5.619960191,92.73,0,6.25,1006.71,245.5890411,9,18
9/6/2022 19:00,25.7,0,5.619960191,94.92,0,4.61,1007.72,245.5890411,9,19
9/6/2022 20:00,25,0,4.869468613,94.92,0,7.4,1008.12,245.5890411,9,20
9/6/2022 21:00,24.6,0,2.705260341,94.92,0,1.07,1008.46,245.5890411,9,21
9/6/2022 22:00,24.2,0,3.420845334,94.92,0,0.83,1009.26,245.5890411,9,22
9/6/2022 23:00,24,0,0.261799388,94.92,0,1.97,1009.3,245.5890411,9,23
9/7/2022 0:00,23.82,0,0.261799388,94.92,0,0,1008.94,246.5753425,9,0
9/7/2022 1:00,23.8,0,0.645771823,94.92,0,0.18,1008.44,246.5753425,9,1
9/7/2022 2:00,23.2,0,5.794493117,94.92,0,1.43,1007.62,246.5753425,9,2
9/7/2022 3:00,23,0,6.143558967,94.92,0,1.8,1007.4,246.5753425,9,3
9/7/2022 4:00,23.44,0,0,94.92,0,1.34,1007.32,246.5753425,9,4
9/7/2022 5:00,23.38,0,4.974188368,94.92,0,0.76,1007.3,246.5753425,9,5
9/7/2022 6:00,23.32,0,3.281218994,94.92,0.06,0.94,1008.04,246.5753425,9,6
9/7/2022 7:00,24.4,0,3.647738137,94.92,0.6,1.12,1008.82,246.5753425,9,7
9/7/2022 8:00,26.4,0,4.520402763,94.92,1.24,6.09,1009.4,246.5753425,9,8
9/7/2022 9:00,28.5,0,4.450589593,90.76,4.41,7.35,1009.94,246.5753425,9,9
9/7/2022 10:00,29.8,0,3.508111797,79.96,4.48,7.85,1009.66,246.5753425,9,10
9/7/2022 11:00,32.2,0,2.914699851,69.6,5.82,7.84,1009.02,246.5753425,9,11
9/7/2022 12:00,32.4,0,3.281218994,68.18,5.34,9.69,1007.7,246.5753425,9,12
9/7/2022 13:00,26.66,0,2.949606436,93.02,2.75,24.19,1007.3,246.5753425,9,13
9/7/2022 14:00,28.8,0,2.932153143,78.72,5.02,18.35,1006.56,246.5753425,9,14
9/7/2022 15:00,30.8,0,2.827433388,72.94,2.24,17.61,1005.8,246.5753425,9,15
9/7/2022 16:00,31,0,2.967059728,73.56,1.19,16.96,1005.62,246.5753425,9,16
9/8/2022 8:24,29.06666667,0,2.187479329,80.68,0.44,13.18,1007.866667,247.5616438,9,8
9/8/2022 8:28,27.13333333,0,1.40789893,87.8,0,9.4,1010.113333,247.5616438,9,8
9/8/2022 9:00,25.2,0,0.628318531,94.92,0,5.62,1012.36,247.5616438,9,9
9/8/2022 10:00,25.06,0,1.343903524,94.92,0,10.75,1012.48,247.5616438,9,10
9/8/2022 11:00,24.9,0.4,1.151917306,94.92,0,16.39,1011.9,247.5616438,9,11
9/8/2022 12:00,24.1,1.2,0.401425728,94.92,0,26.86,1011.34,247.5616438,9,12
9/8/2022 13:00,24.9,0.2,1.082104136,94.92,0,17.98,1010.1,247.5616438,9,13
9/8/2022 14:00,26.94,0,1.570796327,91.74,0,14.29,1008.82,247.5616438,9,14
9/8/2022 15:00,26.7,0,2.967059728,91.66,0,15.33,1008.42,247.5616438,9,15
9/8/2022 16:00,25.7,0,1.535889742,94.92,0,13.25,1008.16,247.5616438,9,16
9/8/2022 17:00,25.3,0.2,1.239183769,94.92,0,7.59,1007.86,247.5616438,9,17
9/8/2022 18:00,24.78,0,2.094395102,94.92,0,3.96,1008.12,247.5616438,9,18
9/8/2022 19:00,24.5,0,1.064650844,94.92,0,0.59,1008.7,247.5616438,9,19
9/8/2022 20:00,24.5,0,0.785398163,94.92,0,6.43,1009.78,247.5616438,9,20
9/8/2022 21:00,24.2,0,0.837758041,94.92,0,2.68,1010.46,247.5616438,9,21
9/8/2022 22:00,24.2,0,1.483529864,94.92,0,0.18,1010.92,247.5616438,9,22
9/8/2022 23:00,24.16,0,2.722713633,94.92,0,1.17,1010.72,247.5616438,9,23
9/9/2022 0:00,24,0,2.49582083,94.92,0,0.18,1010.28,248.5479452,9,0
9/9/2022 1:00,24.1,0,2.705260341,94.92,0,0.08,1009.48,248.5479452,9,1
9/9/2022 2:00,24,0,5.253441049,94.92,0,0.22,1008.84,248.5479452,9,2
9/9/2022 3:00,24.02,0,3.804817769,94.92,0,0.28,1008.5,248.5479452,9,3
9/9/2022 4:00,23.7,0,3.455751919,94.92,0,1.75,1008.42,248.5479452,9,4
9/9/2022 5:00,23.66,0,0.785398163,94.92,0,2.07,1008.44,248.5479452,9,5
9/9/2022 6:00,23.5,0,0.06981317,94.92,0.07,0.27,1009.24,248.5479452,9,6
9/9/2022 7:00,24.1,0,1.064650844,94.92,0.75,0.9,1009.92,248.5479452,9,7
9/9/2022 8:00,25.2,0,2.757620218,94.92,1.84,0.8,1010.5,248.5479452,9,8
9/9/2022 9:00,28.3,0,2.844886681,91.46,2.56,9.09,1011.04,248.5479452,9,9
